"title","model","condition","yom","mileage","price"
"Subaru Forester 2014 Red","Forester","Foreign Used","2014",NA,2775000
"Subaru Impreza 2005 Blue","Impreza","Kenyan Used","2005",119708,549999
"Subaru Forester 2008 Silver","Forester","Kenyan Used","2008",103000,1195000
"Subaru Outback 2004 2.5 Limited Wagon Black","Outback","Kenyan Used","2004",196000,750000
"Subaru Forester 2004 Silver","Forester","Foreign Used","2004",176000,675000
"Subaru Impreza 2014 Blue","Impreza","Foreign Used","2014",86533,1250000
"Subaru Levorg 2015 2.0 GT-S EyeSight Blue","Levorg","Foreign Used","2015",63127,2500000
"New Subaru Impreza 2014 Silver","Impreza","Brand New","2014",52333,1300000
"Subaru Forester 2014 Pearl","Forester","Foreign Used","2014",75000,2900000
"Subaru Outback 2015 Black","Outback","Foreign Used","2015",NA,3600000
"Subaru Outback 2014 Pearl","Outback","Foreign Used","2014",61933,2500000
"Subaru Outback 2015 Silver","Outback","Foreign Used","2015",87600,3000000
"Subaru Levorg 2014 White","Levorg","Foreign Used","2014",56000,1950000
"Subaru Impreza 2014 Silver","Impreza","Foreign Used","2014",65000,1500000
"Subaru Outback 2014 Red","Outback","Foreign Used","2014",58000,3600000
"Subaru Forester 2015 White","Forester","Foreign Used","2015",89000,2700000
"Subaru XV 2014 Limited Package White","XV","Foreign Used","2014",69000,1800000
"Subaru Impreza 2014 White","Impreza","Foreign Used","2014",84000,2750000
"Subaru Legacy 2012 Silver","Legacy","Kenyan Used","2012",131000,1280000
"Subaru Impreza 2014 White","Impreza","Foreign Used","2014",73563,1420000
"Subaru Forester 2014 Green","Forester","Foreign Used","2014",80000,2900000
"Subaru Impreza 2014 Black","Impreza","Foreign Used","2014",87649,1350000
"Subaru Legacy 2014 Red","Legacy","Foreign Used","2014",75000,1900000
"Subaru Outback 2014 Black","Outback","Foreign Used","2014",110000,3100000
"Subaru Forester 2015 Black","Forester","Foreign Used","2015",45064,2400000
"New Subaru Forester 2013 Silver","Forester","Brand New","2013",69000,2320000
"Subaru XV 2014 Gray","XV","Foreign Used","2014",NA,1999999
"Subaru XV 2014 Silver","XV","Foreign Used","2014",NA,1950000
"Subaru Impreza 2014 Red","Impreza","Foreign Used","2014",38693,1550000
"Subaru Outback 2015 Blue","Outback","Foreign Used","2015",78633,3500000
"Subaru Forester 2014 Gray","Forester","Foreign Used","2014",70000,2500000
"Subaru Impreza 2014 Black","Impreza","Foreign Used","2014",1e+05,1350000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",79000,2580000
"Subaru Forester 2014 Gold","Forester","Foreign Used","2014",65112,2800000
"Subaru Impreza 2014","Impreza","Foreign Used","2014",165000,1450000
"Subaru Impreza 2010 Gray","Impreza","Kenyan Used","2010",NA,750000
"Subaru Levorg 2016 Blue","Levorg","Foreign Used","2016",868301,2150000
"Subaru Outback 2015 Red","Outback","Foreign Used","2015",55000,3580000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",NA,3100000
"Subaru Outback 2015 Red","Outback","Foreign Used","2015",60000,3590000
"Subaru Forester 2015 Gray","Forester","Foreign Used","2015",50863,2900000
"New Subaru Outback 2013 2.5i Gray","Outback","Brand New","2013",44203,3400000
"Subaru Legacy 2007 2.0 AWD Black","Legacy","Kenyan Used","2007",153712,780000
"Subaru Outback 2014 Pearl","Outback","Foreign Used","2014",45000,3200000
"Subaru Forester 2015 Off white","Forester","Foreign Used","2015",65000,2600000
"Subaru Forester 2015 Off white","Forester","Foreign Used","2015",78912,3050000
"Subaru Impreza 2014 Red","Impreza","Foreign Used","2014",67000,1550000
"Subaru XV 2015 Orange","XV","Kenyan Used","2015",70290,2200000
"Subaru Forester 2014 Silver","Forester","Foreign Used","2014",NA,2320000
"New Subaru Impreza 2013 WRX STI Limited Blue","Impreza","Brand New","2013",72824,2150000
"Subaru Forester 2013 Black","Forester","Foreign Used","2013",86523,2600000
"Subaru XV 2015 Hybrid White","XV","Foreign Used","2015",91000,2000000
"Subaru Impreza 2014 Gray","Impreza","Foreign Used","2014",97316,1400000
"Subaru Impreza 2013 2.0i Sport Premium Black","Impreza","Foreign Used","2013",53000,1850000
"Subaru Forester 2014 Silver","Forester","Foreign Used","2014",68714,2130000
"Subaru Forester 2014 Teal","Forester","Foreign Used","2014",NA,2600000
"Subaru Outback 2014 Gold","Outback","Foreign Used","2014",51000,3450000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",89650,2800000
"Subaru Trezia 2011 Black","Trezia","Kenyan Used","2011",135000,650000
"Subaru Forester 2014 Matt Black","Forester","Foreign Used","2014",90560,2880000
"Subaru Impreza 2013 Blue","Impreza","Foreign Used","2013",76000,2250000
"New Subaru Forester 2013 Black","Forester","Brand New","2013",71900,2530000
"Subaru Outback 2014 Black","Outback","Foreign Used","2014",123000,2200000
"Subaru Outback 2015 Gray","Outback","Foreign Used","2015",51000,3200000
"Subaru Impreza 2014 Black","Impreza","Foreign Used","2014",67513,1420000
"Subaru Forester 2012 White","Forester","Foreign Used","2012",NA,2180000
"Subaru Outback 2014 black","Outback","NULL","NULL",180097,1649999
"Subaru Legacy 2015 Black","Legacy","Foreign Used","2015",73124,2500000
"Subaru Impreza 2014 Silver","Impreza","Foreign Used","2014",78468,1350000
"Subaru Legacy 2014 Silver","Legacy","Foreign Used","2014",NA,1880000
"Subaru Impreza 2014 Red","Impreza","Foreign Used","2014",98000,1420000
"Subaru Impreza 2014 Silver","Impreza","Foreign Used","2014",148707,1350000
